source,target,source example,target example,source language,target language,source segment,url,comment
"per via di","because of","Non ritarderò questa acquisizione per via di una sottigliezza procedurale.","I'm not going to hold up this takeover because of a procedural mop up.","it","en","","","on account of, by way of"
"pera","pear","Qui puoi imparare come tagliare correttamente la pera.","Here you can learn how to trim the pear correctly.","it","en","","","fix, pear-like"
"percorso","path","Qui sembra abbiate deviato dal percorso programmato.","You seem to have deviated from the programmed path.","it","en","","","route, journey"
"perdono","forgiveness","Sentiila musica del vero perdono riempire il teatro...","I heard the music of true forgiveness filling the theater...","it","en","","","pardon, absolution"
"perfezionare","perfect","Attualmente, sto ancora cercando di perfezionare questa.","At the moment, I'm still trying to perfect this one.","it","en","","","refine, improve"
"perfino","even","E perfino più affascinante che in televisione.","You're even better-looking than you are on television.","it","en","","","actually"
"perizia","expertise","Per ogni icona riceverà un'approfondita perizia con foto.","You will receive a detailed expertise with photo for every icon.","it","en","","","skill, report"
"perlopiù","mostly","Riceviamo molte lettere e bigliettini, perlopiù gentili.","We've been getting lots of letters and cards, mostly nice.","it","en","Del resto, la capitale danese è considerata una delle metropoli più attente alla sostenibilità ambientale al mondo: il suo sistema di trasporto pubblico è completamente elettrico e moltissimi abitanti si spostano perlopiù in bici","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","mainly, largely"
"permanente","permanent","Lascia una macchia permanente e odore.","It's going to leave a permanent stain and an odor.","it","en","","","lifelong, standing"
"perplesso","puzzled","Pertanto, puoi essere immediatamente perplesso dalla scelta dello stile.","Therefore, you can immediately be puzzled by the choice of style.","it","en","","",""
"pervadere","pervade","In una vera e propria 'ōte'a la trama della narrazione dovrebbe pervadere l'intera danza.","In a proper 'ōte'a the story of the theme should pervade the whole dance.","it","en","","",""
"pesante","heavy","Tra un mese sarai piuttosto pesante.","I n a month you will be very heavy.","it","en","","",""
"pesare","weigh","L'aggressore dovrebbe pesare almeno 140 chili.","The assailant would need to weigh at least 312 pounds.","it","en","","",""
"peso","weight","Mi sento come se mi fossi tolto un peso.","""just the facts, ma'am"" routine... it did feel as though a weight had been lifted.","it","en","trasformare il turismo da un peso per l’ambiente a una forza di cambiamento positivo","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","burden, weighing"
"petto","top","Hai il petto più largo, fianchi stretti.","You're bigger up top, tighter in the middle, you got that V thing going.","it","en","","","breast, bosom"
"piacevole","pleasant","Che piacevole sorpresa incontrarla qui così...","What a pleasant surprise to find you out here like this...","it","en","","","nice, enjoyable"
"pian piano","slowly","Quindi pian piano possiamo cominciare a staccarla da quest'aggeggio.","So we can slowly start to wean you off this thing.","it","en","","","gradually, little by little"
"piano","plan","Questa integrazione è disponibile a partire dal piano Piano Starter e superiori.","This integration is available for plan Starter and above.","it","en","","",""
"pianta","plant","Ho dovuto sputarle in una pianta.","I had to spit 'em in a plant.","it","en","","","plan, tree"
"pianto","crying","Caroline, credevo che avresti pianto.","Caroline, I thought you would be crying.","it","en","","","cry, tears"
"pieghevole","folding","E vorrei anche la carrozzina pieghevole.","And I think I'll have the folding pram.","it","en","","","foldable, collapsible"
"pienamente","fully","Il vostro onore sarà pienamente soddisfatto.","Your honour, sir, shall be fully satisfied.","it","en","","https://classroom.italki.com/r/3113385678","full, completely"
"pietra","stone","Naturalmente, nemmeno una pietra può ucciderti.","Course, a stone can't kill you either.","it","en","","","rock, block"
"pigro","lazy","Sono troppo pigro per distruggerti la casa.","You know me. I'm too lazy to try to destroy your house.","it","en","","",""
"pioggia","rain","Deve essersi trovato sotto la pioggia.","You must've been caught in the rain.","it","en","","","rainfall, shower"
"piovere","rain","Potremmo permetterci questa macchina solo se iniziasse a piovere oro dal cielo.","The only way we're going to be able to afford this machine is if the heavens open up and rain gold down on us.","it","en","","","rain down, pour"
"piovigginare","drizzle","A me piace far piovigginare tre dollari.","I like a nice $3 drizzle.","it","en","","https://classroom.italki.com/r/7643320968","..."
"piovuto","rained","Non so cosa sarebbe successo se avesse piovuto.","I don't know what would have happened if it had rained.","it","en","","","rain, been raining"
"più di tanto","too much","Testimonia senza protestare più di tanto.","She testifies without complaining too much.","it","en","","https://classroom.italki.com/r/3645320968","so much, that much"
"piuttosto","rather","Personalmente, ne sono piuttosto fiero.","Personally, I'm rather proud of that.","it","en","","","quite, pretty"
"piuttosto che","rather than","Preferisco sostituirla, piuttosto che cercare di ripararla.","I'd replace the whole unit rather than try to repair it.","it","en","","",""
"poco attrezzato","underequipped","","","it","en","","",""
"poggiare","rest","Questa proposta sembra poggiare su argomenti validi.","This proposal seems to rest on valid arguments. 2.","it","en","","","put, place"
"polemica","controversy","Non è necessario scatenare nessuna polemica.","There is no need to have any controversy.","it","en","","","polemic, debate"
"polvere","powder","Conteneva una bottiglia mezza piena di polvere bianca.","The contents was a bottle half full of white powder.","it","en","","https://classroom.italki.com/r/7643320968","dust, dirt"
"porsi","ask yourself","Nella tua posizione è importante porsi una domanda.","In your position, it's important to ask yourself one question.","it","en","","","asking, ask themselves"
"portare a termine","complete","Se dovessero portare a termine la vendita, le bombe potrebbero scomparire per anni.","If they complete the sale, these bombs could disappear for years.","it","en","","","carry out, accomplish"
"portare la differenziata","carry the differentiated","","","it","en","","",""
"portone","door","In pochissimo tempo il portone sarà nuovamente operativo.","Your door will be ready for operation again after a short time.","it","en","","","gate, doorway"
"posata","placed","Perché l'elettromaniglia funzioni regolarmente, essa va posata solo su porte e telai in buone condizioni.","In order for the electric handle to function properly, it should only be placed on doors and frames that are in good condition.","it","en","","",""
"possedere","possess","Insomma, potrebbe... uccidere, possedere qualcuno.","I mean, he could... kill... possess people.","it","en","","",""
"possente","mighty","Eravamo prigionieri del vento, impotenti nella possente stretta della tempesta.","We were prisoners of the wind, helpless in the storm's mighty grip.","it","en","","",""
"possesso","possession","Presto prenderò possesso del suo locale.","I'll soon take possession of her place.","it","en","","","hold, holding"
"posta","mail","Guarda quanti giornali e quanta posta.","Look at all these newspapers and this mail.","it","en","","","post, mailbox"
"potente","powerful","Mi spaventa quanto potente tu stia diventando.","I mean, it frightens me how powerful you're getting.","it","en","","","potent, mighty"
"potenziare","enhance","Esercizi studiati apposta per velocizzare e potenziare l'articolazione delle dita.","Exercises conceived specifically to speed up and enhance the articulations of the fingers.","it","en","","","strengthen, boost"
"potenziato","enhanced","Questo effetto è ulteriormente potenziato dall'idromassaggio.","This effect is further enhanced by the bubble massage.","it","en","","","upgraded, boosted"
"pozzanghera","puddle","Mentre camminavo, ho calpestato una pozzanghera.","While I was walking, I stepped in a puddle.","it","en","","","pool, pond"
"preavviso","notice","Perché ho appena dato il preavviso.","Because I've just handed in my notice.","it","en","","","warning, advance notice"
"precipitoso","hasty","Walther, non sia così precipitoso.","Walther, let's not be so hasty.","it","en","","",""
"prefisso","prefix","Tavoli parietali sono usati come prefisso al divano.","Parietal tables are used as a prefix to the couch.","it","en","","https://classroom.italki.com/r/7643320968","area code, code"
"pregare","pray","Mia moglie vuole pregare per cinque minuti.","My wife just wants to pray for five minutes.","it","en","","","beg, pray to"
